Frequency_Hz,Gain_Ideal_dB,Phase_Ideal_deg,Gain_TL071_dB,Phase_TL071_deg,Gain_LF357_dB,Phase_LF357_deg,Gain_OPA828_dB,Phase_OPA828_deg,Gain_ADA4817_dB,Phase_ADA4817_deg
10.0,87.9500412,-0.00286891158,87.9525879,-0.0127610661,87.9525881,-0.0040937839,87.9525881,-0.00324132137,87.9525881,-0.00263729077
10.139254075588154,87.9500412,-0.0029088623497310613,87.9525879,-0.012938769155261175,87.9525881,-0.0041507915167711415,87.9525881,-0.003286458093343336,87.9525881,-0.0026740161202983936
10.280447320933092,87.9500412,-0.002949369445105803,87.9525879,-0.013118946783641323,87.9525881,-0.004208592980937486,87.9525881,-0.003332223361199433,87.9525881,-0.0027112528830949352
10.423606739764017,87.9500412,-0.002990440608084303,87.9525879,-0.013301633430246176,87.9525881,-0.004267199340253192,87.9525881,-0.003378625923554304,87.9525881,-0.0027490081770480132
10.56875971184804,87.9500412,-0.0030320837039936504,87.9525879,-0.013486864085808344,87.9525881,-0.0043266218216780235,87.9525881,-0.0034256746599455106,87.9525881,-0.002787289231435738
10.715933998226712,87.9500412,-0.0030743066971842255,87.9525879,-0.013674674165287495,87.9525881,-0.004386871787746822,87.9525881,-0.003473378568915049,87.9525881,-0.002826103366434494
10.865157746525384,87.9500412,-0.0031171176779834584,87.9525879,-0.01386509960970028,87.9525881,-0.004447960770331894,87.9525881,-0.0035217467792326472,87.9525881,-0.002865458013683178
11.016459496336564,87.9500412,-0.00316052482101945,87.9525879,-0.014058176811161833,87.9525881,-0.004509900445459284,87.9525881,-0.00357078854377287,87.9525881,-0.002905360691326501
11.169868184678231,87.9500412,-0.0032045364298901534,87.9525879,-0.014253942701363124,87.9525881,-0.004572702662770277,87.9525881,-0.0036205132489082045,87.9525881,-0.002945819031762968
11.325413151528116,87.9500412,-0.0032491609049171565,87.9525879,-0.014452434664930534,87.9525881,-0.00463637941265504,87.9525881,-0.00367093037164204,87.9525881,-0.002986840764089233
11.483124145435111,87.9500412,-0.0032944067875612945,87.9525879,-0.014653690687912451,87.9525881,-0.004700942880604673,87.9525881,-0.0037220495642552266,87.9525881,-0.0030284337374448327
11.643031329208767,87.9500412,-0.003340282750383789,87.9525879,-0.014857749326923905,87.9525881,-0.0047664054319926435,87.9525881,-0.003773880632319555,87.9525881,-0.0030706059175602727
